CustomerKey;First Name;Last Name;Full Name;DateFirstPurchase;YearlyIncome;CommuteDistance;Customer City
11000;Jon;Yang;Jon Yang;2020-01-19 00:00:00.000;90000;1-2 Miles;Rockhampton
11001;Eugene;Huang;Eugene Huang;2020-01-15 00:00:00.000;60000;0-1 Miles;Seaford
11002;Ruben;Torres;Ruben Torres;2020-01-07 00:00:00.000;60000;2-5 Miles;Hobart
11003;Christy;Zhu;Christy Zhu;2019-12-29 00:00:00.000;70000;5-10 Miles;North Ryde
11004;Elizabeth;Johnson;Elizabeth Johnson;2020-01-23 00:00:00.000;80000;1-2 Miles;Wollongong
11005;Julio;Ruiz;Julio Ruiz;2019-12-30 00:00:00.000;70000;5-10 Miles;East Brisbane
11006;Janet;Alvarez;Janet Alvarez;2020-01-24 00:00:00.000;70000;5-10 Miles;Matraville
11007;Marco;Mehta;Marco Mehta;2020-01-09 00:00:00.000;60000;0-1 Miles;Warrnambool
11008;Rob;Verhoff;Rob Verhoff;2020-01-25 00:00:00.000;60000;10+ Miles;Bendigo
11009;Shannon;Carlson;Shannon Carlson;2020-01-27 00:00:00.000;70000;5-10 Miles;Hervey Bay
11010;Jacquelyn;Suarez;Jacquelyn Suarez;2020-01-14 00:00:00.000;70000;5-10 Miles;East Brisbane
11011;Curtis;Lu;Curtis Lu;2019-12-30 00:00:00.000;60000;10+ Miles;East Brisbane
11012;Lauren;Walker;Lauren Walker;2022-03-16 00:00:00.000;100000;1-2 Miles;Bremerton
11013;Ian;Jenkins;Ian Jenkins;2022-04-13 00:00:00.000;100000;0-1 Miles;Lebanon
11014;Sydney;Bennett;Sydney Bennett;2022-03-23 00:00:00.000;100000;1-2 Miles;Redmond
11015;Chloe;Young;Chloe Young;2022-01-18 00:00:00.000;30000;5-10 Miles;Burbank
11016;Wyatt;Hill;Wyatt Hill;2022-02-09 00:00:00.000;30000;5-10 Miles;Imperial Beach
11017;Shannon;Wang;Shannon Wang;2020-01-12 00:00:00.000;20000;5-10 Miles;Sunbury
11018;Clarence;Rai;Clarence Rai;2020-01-17 00:00:00.000;30000;5-10 Miles;Bendigo
11019;Luke;Lal;Luke Lal;2022-02-12 00:00:00.000;40000;5-10 Miles;Langley
11020;Jordan;King;Jordan King;2021-12-29 00:00:00.000;40000;1-2 Miles;Metchosin
11021;Destiny;Wilson;Destiny Wilson;2022-01-23 00:00:00.000;40000;1-2 Miles;Beaverton
11022;Ethan;Zhang;Ethan Zhang;2022-01-20 00:00:00.000;40000;5-10 Miles;Bellingham
11023;Seth;Edwards;Seth Edwards;2022-02-17 00:00:00.000;40000;1-2 Miles;Bellflower
11024;Russell;Xie;Russell Xie;2022-06-27 00:00:00.000;60000;5-10 Miles;Concord
11025;Alejandro;Beck;Alejandro Beck;2020-01-06 00:00:00.000;10000;1-2 Miles;Hawthorne
11026;Harold;Sai;Harold Sai;2020-01-23 00:00:00.000;30000;1-2 Miles;Goulburn
11027;Jessie;Zhao;Jessie Zhao;2020-01-16 00:00:00.000;30000;5-10 Miles;Warrnambool
